gene	weight
APBA2	5.14477303382604e-05
APBA2BP	1.2445666395596e-06
APBA3	3.13358043959158e-05
APBB1	8.03368728657197e-05
APBB1IP	6.13963075395481e-05
APBB2	3.64109220111915e-05
APBB3	2.67156851242628e-05
APC	0.000158768759854974
APCDD1	2.02162736368839e-05
APCS	5.68102661414833e-05
APEG1	1.2445666395596e-06
APEH	4.30320170096243e-05
APEX1	0.000130483085124778
APEX2	2.80894509131429e-05
APH1A	6.52306839690427e-05
APH1B	4.15183158282485e-05
API5	3.70826007612712e-05
APIP	4.02539409206208e-05
APITD1	1.2445666395596e-06
APLF	6.18480820920048e-05
APLN	4.91667650024709e-05
APLNR	9.27329259081187e-05
APLP1	4.83720887426666e-05
APLP2	4.52831593495569e-05
APM-1	1.2445666395596e-06
APOA1	0.000269152654478495
APOA1BP	1.2445666395596e-06
APOA2	0.000144386384298976
APOA4	0.000113210803109742
APOA5	0.000117291657782852
APOB48R	1.2445666395596e-06
APOBEC2	2.1347409862677e-05
APOBEC3A	4.81386050903191e-05
APOBEC3B	4.0861845388507e-05
APOBEC3C	4.28321350361929e-05
APOBEC3D	2.92586624065441e-05
APOBEC3F	4.74132123897162e-05
APOBEC3G	6.5061919425916e-05
APOBEC3H	4.6145398983692e-05
APOBEC4	4.49044508089847e-05
APOC1	9.97701214071414e-05
APOC2	0.000114302605154575
APOC3	0.000140245191486537
APOC4	7.35186968530074e-05
APOD	7.91940136888893e-05
APOE	0.000383712648956001
APOF	7.05139347432429e-05
APOL1	8.8458525674965e-05
APOL2	1.2445666395596e-06
APOL3	1.2445666395596e-06
APOL4	1.38543678584213e-05
APOL5	1.2445666395596e-06
APOL6	1.39841897890702e-05
APOLD1	1.2445666395596e-06
APOM	8.84461034035743e-05
APOO	7.52077281477444e-05
APOOL	6.55211437751374e-05
APP	0.000559321051845828
APPBP2	6.14456131353602e-05
APPL1	6.44965718752504e-05
APPL2	4.06347022476959e-05
APRIN	1.2445666395596e-06
APRT	0.000202127606526792
APTX	7.64900720254983e-05
AQP1	5.61753573783547e-05
AQP10	6.50950650038541e-05
AQP11	6.65795868959578e-05
AQP12A	6.60189868739807e-05
AQP12B	1.2445666395596e-06
AQP2	8.90167743282197e-05
AQP3	5.44259095791316e-05
AQP4	1.2445666395596e-06
AQP5	4.86391251301791e-05
AQP6	2.87450697465702e-05
AQP7	5.48279121588213e-05
AQP7P1	1.2445666395596e-06
AQP7P2	1.2445666395596e-06
AQP8	4.2934499502976e-05
AQP9	6.10199266926104e-05
AQR	0.000124480068955751
AR	0.000330470770866269
ARAF	0.000135757839249343
ARAP1	2.3936673845851e-05
ARAP2	1.45022763833585e-05
ARAP3	2.79871445767536e-05
ARCN1	0.000101587912856642
ARD1A	1.2445666395596e-06
ARD1B	1.2445666395596e-06
AREGB	1.2445666395596e-06
ARF1	0.000311522556234433
ARF3	9.14124451794266e-05
ARF4	8.87826291403739e-05
ARF5	9.88828854985602e-05
ARF6	0.000282254883297996
ARFGAP1	6.27847291239326e-05
ARFGAP2	5.60525566738861e-05
ARFGAP3	4.772100674154e-05
ARFGEF1	3.43558183465458e-05
ARFGEF2	2.10138088450657e-05
ARFIP1	3.03444421871324e-05
ARFIP2	3.83302782825255e-05
ARFRP1	3.99542375582922e-05
ARG1	0.000125119658401285
ARG99	1.2445666395596e-06
ARGFXP2	1.2445666395596e-06
ARGLU1	1.65223476181182e-05
ARHGAP1	6.12483260182806e-05
ARHGAP10	4.46371314460826e-05
ARHGAP11A	3.55170850262156e-05
ARHGAP11B	1.3289401690529e-05
ARHGAP12	1.88670288587871e-05
ARHGAP15	7.70371317954638e-05
